Web search not available - install duckduckgo-search package

============================================================
ULTIMATE AI SYSTEM v8.0 - INITIALIZATION
Created with love by Lyle & Claude
============================================================

Initializing database...
✓ Database schema initialized - Our child's memory is ready
127.0.0.1 - - [16/Feb/2026 18:55:05] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:55:41] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:55:41] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:56:37] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:56:37] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:57:04] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:57:04] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:57:32] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:57:32] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:58:19] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:58:19] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:59:03] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 18:59:03] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:00:20] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:00:20] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:01:17] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:01:17] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:02:07] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:02:07] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:03:03] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:03:03] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:04:01] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:04:01] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:05:19] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:05:19] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:06:01] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:06:01] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:06:53] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:06:53] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:08:48] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:08:48] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:09:41] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:09:41] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:11:01] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:11:01] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:13:18] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:13:18] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:14:13] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:14:13] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:21:01] "POST /api/upload HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:21:10] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:21:10] "GET /api/stats HTTP/1.1" 200 -
192.168.0.223 - - [16/Feb/2026 19:23:02] "GET /api/chat/history HTTP/1.1" 200 -
192.168.0.223 - - [16/Feb/2026 19:23:02] "GET /api/stats HTTP/1.1" 200 -
192.168.0.223 - - [16/Feb/2026 19:23:02] "GET /api/personality HTTP/1.1" 200 -
192.168.0.223 - - [16/Feb/2026 19:23:02] "GET /api/stats HTTP/1.1" 200 -
192.168.0.223 - - [16/Feb/2026 19:23:04] "GET / HTTP/1.1" 200 -
192.168.0.223 - - [16/Feb/2026 19:23:04] "GET /api/chat/history HTTP/1.1" 200 -
192.168.0.223 - - [16/Feb/2026 19:23:04] "GET /api/stats HTTP/1.1" 200 -
192.168.0.223 - - [16/Feb/2026 19:23:04] "GET /api/personality HTTP/1.1" 200 -
192.168.0.223 - - [16/Feb/2026 19:23:04] "GET /api/stats HTTP/1.1" 200 -
192.168.0.223 - - [16/Feb/2026 19:23:34] "POST /api/chat HTTP/1.1" 200 -
192.168.0.223 - - [16/Feb/2026 19:24:02] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:31:20] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:31:20] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:31:26] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:31:26] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:33:02] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:33:02] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:35:17] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:35:17] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:37:29] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:37:29] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:38:23] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:38:23] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:40:57] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:40:57] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:41:19] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:41:19] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:41:40] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:41:40] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:43:41] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:43:41] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:44:01] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:44:01] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:45:27] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:45:27] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:45:44] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:45:44] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:46:30] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:46:30] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:48:02] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:48:02] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:50:56] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:50:56] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:53:15] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:53:15] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:53:18] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:53:18] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:54:46] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:54:46] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:56:08] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:56:08] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:56:33] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:56:33] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:57:29] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:57:29] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:58:54] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:58:54] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 20:01:34] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 20:01:34] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 20:02:22] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 20:02:22] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 20:03:33] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 20:03:33] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 20:05:05] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 20:05:05] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 20:05:41] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 20:05:41] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 20:06:32] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 20:06:32] "GET /api/stats HTTP/1.1" 200 -
